category_id,state,title,type,naic_code,buyer,deadline,agency,contract_link,notice_id,purchasing_department,contact_office_name,contact_officer_number,contact_officer_email,keywords,special_category,description
" Trades and Subcontracts: HVAC, Refrigeration, Mechanical",CO,Y--DEVA 236691 - Scotty's Castle Climate Control System Total Small Business Set-Aside (FAR 19.5) Presolicitation,Intelligence,,Department of the Interior,"Aug 30, 2022",Department of the Interior,https://sam.gov/opp/49196aa98ecd4940b9e1757835fe94f7/view,"140P2021R0117    		    		 ",Purchasing Officer,,202-208-3100,gregory_passig@nps.gov,,Hub zone Set Asides,"Scotty's Castle Climate Control System, Death Valley National Park, California ACTION: Pre-Solicitation Notice PRE-SOLICITATION NUMBER: 140P2021R0117 CLASSIFICATION CODE: Y1NB Construction of Heating and Cooling Plants CONTRACTING OFFICER: Greg Passig DSC-CS Contracting Services Division National Park Service P.O. Box 25287 Denver, CO 80225 POINT OF CONTACT: Patrick Naulty, Contract Specialist, 303-987-6701, patrick_naulty@nps.gov PLACE OF PERFORMANCE: Death Valley National Park, Inya County, California PLACE OF PERFORMANCE POSTAL CODE: 92328-0579 PLACE OF PERFORMANCE COUNTRY: USA Title of Project: Replace Historic Scotty?s Castle Climate Control System GENERAL: The National Park Service (NPS), Department of Interior (DOI), Denver Service Center (DSC), is soliciting proposals from all interested businesses having the capability to perform the work described below. The solicitation will be issued electronically on the Beta.SAM.gov website at www.sam.gov . Proposal documents will be available for download in Microsoft Word, HTML, Microsoft Excel, and Adobe PDF; Specifications will be available in Adobe PDF format; and drawings will be available in PDF format. Please Note: Paper copies of the solicitation will not be made available. Vendors can search for opportunities and award history on www.sam.gov without registering. The SAM.gov website has an Interested Vendors List and a Watch list where you can add your company?s interest. Registering provides the opportunity to receive notifications; this is a tool of convenience only and does not serve as a guarantee of notification. Interested vendors and plan holders are required to visit the website periodically to check for amendments and other changes to the synopsis or solicitation documents. Prospective offerors desiring to conduct business with the DOI are required to have an active registration in the Systems for Awards Management (SAM) at www.sam.gov. You are also required to have a DUNS number in order to conduct business with the Federal Government. This pre-solicitation announcement is not a solicitation document, but pre-notice of an upcoming solicitation. Specific instructions on submitting your proposal will be contained in the solicitation documents to be issued on or after the date listed below. The sources sought for this requirement was posted under Solicitation140P2020R0031. Due to the Fiscal Year change we were required to generate a new solicitations number. This is still the same requirement that was posted under Solicitation 140P2020R0031. Proposed Solicitation Issue Date: Estimated on/about July 12, 2021 This is currently an unfunded requirement with a high expectation that funds will be available. When and if funds become available a contract will be awarded at that time. The NAICS Code for this requirement is 238220 with a size standard of $16.5 million. Title of Project: Replace Historic Scotty?s Castle Climate Control System Description: This project will replace critical heating, ventilation and air conditioning (HVAC) components of the circa 1990 mechanical system that services the National Register of Historic Places listed Scotty?s Castle Main House and Annex structures. The project will thermally-zone the facility to improve space utilization, museum storage, and efficiencies of the HVAC system for 14,560 square feet of the Main House and Annex. The Work includes the removal of the existing water source heat pump (WSHP) HVAC system at the Castle Main House and Annex and shall be replaced with a new 4-pipe boiler/chiller system with new air handling units (AHU) in the Castle Main House and Annex. The work includes selective demolition at the Castle Main House, Annex and Stables, installation of new HVAC and electrical systems, protection of existing historic fabric, selective site work, trenching for installation of new MEP infrastructure, modifications to existing interior partition framing at the Stables, construction of a new mechanical room at the Stables, construction of a new cooling tower and cooling tower enclosure east of the Stables, and construction of a new effluent disposal system for the cooling tower effluent. Type of Procurement: It is anticipated that a negotiated firm-fixed price contract will be awarded requiring submission of both a technical and price proposal. The government will consider an offeror?s technical capability in comparison to its price. Magnitude of Construction: $5 million - $10 million Estimated Period of Performance: 275 days Proposal receipt date is not known at this time. The actual date will be established in the solicitation documents A pre-proposal meeting may be posted and date/location will be noted in the solicitation. This procurement is a TOTAL SMALL BUSINESS SET-ASIDE. Responsible small business sources may submit an offer that will be considered. The small business size standard for NAICS 238220 is $14 million. Small Disadvantaged Business and HUBZone firms must be certified in accordance with solicitation clause, FAR 52.219-8?Utilization of Small Business Concerns. It is the policy of the government to provide maximum practicable opportunities in its acquisitions to small business, veteran-owned small business, small disadvantaged business, and women-owned small business concerns. Such concerns must also have the maximum practicable opportunity to participate as subcontractors in the contracts awarded by any executive agency, consistent with efficient contract performance. All offerors are strongly encouraged to contact their local Small Business Administration Office, to post their need for qualified subcontractors at http://www.sba.gov ."
" Consulting: Management Studies, Technical, Research",OH,Broad Agency Announcement for Advanced Battle Management Systems (ABMS)  Special Notice,Federal,,Department of Defense,"Feb 27, 2025",Department of Defense,https://sam.gov/opp/332eb075a31547be830ce4bc0c9ac0dd/view,"BAA-AFLCMC_CAIO-2020    		    		 ",Purchasing,,703-695-7145,gary.vanover@us.af.mil,,Hub zone Set Asides,"3 June 2021?Call 001 Amendment 4 Primary and Alternate Contacts updated. 3 June 2021?Call 002 Amendment 4 Minor administrative changes (owning organization updated from Chief Architect?s Integration Office or CAIO to the Air Force Life Cycle Management Center Architecture and Integration Directorate or AFLCMC/XA), ABMS changed to JADC2, Alternate Contact updated, reference to BAA Guide for Industry deleted, Basic NIST SP 800-171 DoD Assessment requirements included, due dates updated, On-Ramp Exercise paragraph deleted. 3 June 2021?Call 003 Amendment 4 Minor administrative changes (owning organization updated from Chief Architect?s Integration Office or CAIO to the Air Force Life Cycle Management Center Architecture and Integration Directorate or AFLCMC/XA), ABMS changed to JADC2, Alternate Contact updated, due dates updated, On-Ramp Exercise paragraph deleted. 15 April 2021 Call 001 Amendment 3:? Minor administrative changes (owning organization updated from Chief Architect?s Integration Office or CAIO to the Air Force Life Cycle Management Center Architecture and Integration Directorate or AFLMCM/XA), ABMS changed to JADC2, reference to BAA Guide for Industry deleted, Basic NIST SP 800-171 DoD Assessment requirements included, due dates updated, On-Ramp Exercise paragraph deleted 20 November 2020 Call 003:?Attachments added 20 November 2020 Broad Agency Announcement Guide: Updated to Attachments/Links 10 November 2020 Broad Agency Announcement Guide: Added to Attachments/Links 10 November 2020?Call 003:?Section 3 updated to include On-Ramp Exercise #4 paragraph 10 November 2020?Call 002:?Broad Agency Announcement (BAA) Guide for Industry is included in the Attachments/Links section; Section 4 updated to include On-Ramp Exercise #4 paragraph 10 November 2020?Call 001:?No Updates. Reattached Amendment 2 as posted 30 September 2020.? 30 September 2020:?Call 001:?Updated contact information for ?Primary? in Section 1; Basis of Proposal Evaluation, Technical criteria and Past experience criteria updated in Section 3; Proposal Due Dates and Award Notices updated in Section 3; Planned Demonstrations/Exercises/On-Ramp Events updated in Section 4 30 September 2020:?Call 002:?Proposal Due Dates and Award Notices updated in Section 3; Planned Demonstrations/Exercises/On-Ramp Events updated in Section 4 30 September 2020:?Call 003:?Updated contact information for ?Primary? in Section 1; Planned Demonstrations/Exercises/On-Ramp Events updated in Section 3; Proposal Due Dates updated in Section 5? 30 September 2020:?Frequently Asked Questions?Were updated 10 June 2020: Model IDIQ Contract added to attachments and links.? 08 June 2020: : Call 001:?Updated contact information for ?Alternate? in Section 1; added Not-To-Exceed amount in Section 3, Volume 2 paragraph; added ?Section 4: Planned Demonstrations/Exercises/On-Ramp Events?; model ID/IQ contract added as an attachment 08 June 2020: : Call 002:?Updated contact information for ?Alternate? in Section 1 and ?Section 4: Planned Demonstrations/Exercises/On-Ramp Events? added 08 June 2020: : Call 003:?Updated contact information for ?Alternate? in Section 1 03 June 2020: Administrative update to the include 'FA8612 AFLCMC CAIO' as the issuing office.? 24 April 2020: Amendment 003 issued to publish Call 003 requesting responses for technologies and solutions to support future ABMS technology demonstrations at no cost via a Cooperative Research and Development Agreement (CRADA.)? 10 March 2020: Amendment 002 issued to publish a Frequently Asked Questions (FAQ) document?to address questions received on Calls 001 and 002. 03 March 2020: Amendment 001 issued to publish Call 002 requesting responses for ideas, technologies and solutions to support the ABMS.? 28 February 2020: Original Announcement issued to publish the BAA and Call 001 requesting responses to participate on the ABMS/ID/IQ contract.?? The Air Force Lifecycle Management Center, Advanced Battle Management Systems (ABMS) Chief Architect Integration Office (CAIO) releases the Broad Agency Announcement for Advanced Battle Management Systems (ABMS) Announcement Number: BAA-AFLCMC_CAIO-2020-0001 Issue Date: 28 February 2020 NOTE This is only an announcement; PLEASE DO NOT SUBMIT PROPOSALS IN RESPONSE. Subsequent calls will be issued under this announcement to solicit proposals for specific efforts. Please refer to the attachment section of this announcement for the calls.? Publication of this announcement does not obligate the DoD to review any white papers submission beyond an initial administrative review, or to award any specific project, or to obligate any available funds. Executive Summary In order to effectively engage peer and near-peer adversaries, the U.S. Air Force needs to develop, acquire and operate systems as a unified force across all domains (air, land, sea, space, cyber, and electromagnetic spectrum).? The Department of the Air Force Rapid Capabilities Office (DAFRCO) in partnership with the Air Force Life Cycle Management Center Architecture and Integration Directorate (AFLCMC/XA) seeks to develop a cross-cutter portfolio of complimentary/ linked projects and programs to support Joint All-Domain Command & Control (JADC2) and the Advanced Battle Management System (ABMS). The Air Force intends to facilitate the rapid exploration and maturation of innovative?technologies. The Air Force will support future operations by providing the critical surveillance, tactical edge communications, processing, networking, and battle management command and control capabilities to the joint warfighting force.? ABMS is not envisioned as a single program of record, but rather an open architecture family of systems that enables capabilities via multiple integrated platforms.? ABMS will realize the vision of JADC2 to enhance and expand capabilities by enabling any sensor to inform any shooter in any domain?land, sea, air, space, and cyberspace. ?In an interview with Air Force Magazine in April 2019, General Goldfein stated, ?It is a significant move for the Air Force to shift from a platform solution on command and control and battle management to a network solution going forward, and our future in the business of joint warfighting is to ensure that we?re taking every sensor and every shooter and connecting them together to overwhelm an adversary?.? Our aim is to have intelligence and targeting data transformed into timely and actionable information through trusted networks and intelligent algorithms that enable our people to focus on decisions.? In this construct, information is a service, rather than a platform, and the layers of sensing and the communication pathways will provide reliability and assurance in contested environments. General Information Federal Agency Name:? AFLCMC/XA Broad Agency Announcement Title:??Advanced Battle Management System Broad Agency Announcement Type:? This is the initial announcement. Broad Agency Announcement Number:? BAA-AFLCMC_CAIO-2020-0001 Closing Date:?This BAA will remain open for 5 years until 27 February 2025, unless superseded, amended, or cancelled. Periodically, but no less than annually, the BAA will be assessed and updates will be issued via amendment.? BAA Calls:??As applicable, individual calls for white papers or proposals for specific technology areas of interest will be issued under this BAA announcement. BAA calls may utilize the 1-Step or 2-Step process for propsals. Each call will identify: the process being used; specific details regarding the call technical topic area; submission instructions, to include due dates; review, evaluation and selection criteria; and any other relevant information specific to the call. Address contracting questions to the Contracting POC:? Primary:? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ??Alternate: Ms. Katie Rasmussen? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? Mr. Joseph Craven kathleen.rasmussen.2@us.af.mil? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?Joseph.craven.1@us.af.mil Phone Number: (937) 255-8421? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?Phone Number: (937) 255-2762 ? ? ? ? ? ? ? ? Type of Contract/Instrument:? The Air Force reserves the right to award the instrument best suited to the nature of research proposed.? Accordingly, the Government may award any appropriate contract type under the FAR or Other Transaction (OT) for Prototype. Rights in Technical Data, Computer Software and Computer Software Documentation:??It is the Government's intention to acquire only the delivery of technical data and computer software and the rights in that technical data and computer software that is necessary to satisfy agency needs, and this will be negotiated on a case-by-case basis. Industry Classification and Business Size Standards:?The North American Industry Classification System (NAICS) code for this announcement is 541715 - Research and Development Physical, Engineering, and Life Sciences with a small business size standard of 1000 employees. Eligibility Information:?Although participation is encouraged, no portion of this BAA is set-aside for small businesses, to include veteran-owned, service-disabled veteran-owned, Historically Underutilized Business Zone (HUBZone) program, small disadvantaged, women-owned, and historically black colleges and universities and minority institutions. Foreign or foreign-owned contractors are advised that their participation, while not precluded, is subject to foreign disclosure review procedures. Foreign contractors should contact the Primary Contracting POC identified in each specific call if they contemplate responding to this BAA. Disclaimers/Notifications:?The U.S. Air Force reserves the right to select all, some, partial white paper content, or none of the white papers received in response to this BAA throughout its term. The U.S. Air Force reserves the right to initiate clarification of white papers and other material submitted in response to this BAA with Offerors when deemed necessary. All awards are subject to the availability of funds. Offerors will not be reimbursed for white paper development costs. There shall be no basis for claims against the Government as a result of any information submitted in response to this BAA. White papers and other material submitted with the white paper for review purposes under this BAA will not be returned."
" Trades and Subcontracts: HVAC, Refrigeration, Mechanical",CO,Y--DEVA 236691 - Scotty's Castle Climate Control System Total Small Business Set-Aside (FAR 19.5) Presolicitation,Intelligence,,Department of the Interior,"Aug 30, 2022",Department of the Interior,https://sam.gov/opp/0407436ddee14b218a4b58520227a341/view,"140P2021R0117    		    		 ",Purchasing Officer,,202-208-3100,gregory_passig@nps.gov,,Hub zone Set Asides,"Scotty's Castle Climate Control System, Death Valley National Park, California ACTION: Pre-Solicitation Notice PRE-SOLICITATION NUMBER: 140P2021R0117 CLASSIFICATION CODE: Y1NB Construction of Heating and Cooling Plants CONTRACTING OFFICER: Greg Passig DSC-CS Contracting Services Division National Park Service P.O. Box 25287 Denver, CO 80225 POINT OF CONTACT: Patrick Naulty, Contract Specialist, 303-987-6701, patrick_naulty@nps.gov PLACE OF PERFORMANCE: Death Valley National Park, Inya County, California PLACE OF PERFORMANCE POSTAL CODE: 92328-0579 PLACE OF PERFORMANCE COUNTRY: USA Title of Project: Replace Historic Scotty?s Castle Climate Control System GENERAL: The National Park Service (NPS), Department of Interior (DOI), Denver Service Center (DSC), is soliciting proposals from all interested businesses having the capability to perform the work described below. The solicitation will be issued electronically on the Beta.SAM.gov website at www.sam.gov . Proposal documents will be available for download in Microsoft Word, HTML, Microsoft Excel, and Adobe PDF; Specifications will be available in Adobe PDF format; and drawings will be available in PDF format. Please Note: Paper copies of the solicitation will not be made available. Vendors can search for opportunities and award history on www.sam.gov without registering. The SAM.gov website has an Interested Vendors List and a Watch list where you can add your company?s interest. Registering provides the opportunity to receive notifications; this is a tool of convenience only and does not serve as a guarantee of notification. Interested vendors and plan holders are required to visit the website periodically to check for amendments and other changes to the synopsis or solicitation documents. Prospective offerors desiring to conduct business with the DOI are required to have an active registration in the Systems for Awards Management (SAM) at www.sam.gov. You are also required to have a DUNS number in order to conduct business with the Federal Government. This pre-solicitation announcement is not a solicitation document, but pre-notice of an upcoming solicitation. Specific instructions on submitting your proposal will be contained in the solicitation documents to be issued on or after the date listed below. The sources sought for this requirement was posted under Solicitation140P2020R0031. Due to the Fiscal Year change we were required to generate a new solicitations number. This is still the same requirement that was posted under Solicitation 140P2020R0031. Proposed Solicitation Issue Date: Estimated on/about July 12, 2021 This is currently an unfunded requirement with a high expectation that funds will be available. When and if funds become available a contract will be awarded at that time. The NAICS Code for this requirement is 238220 with a size standard of $16.5 million. Title of Project: Replace Historic Scotty?s Castle Climate Control System Description: This project will replace critical heating, ventilation and air conditioning (HVAC) components of the circa 1990 mechanical system that services the National Register of Historic Places listed Scotty?s Castle Main House and Annex structures. The project will thermally-zone the facility to improve space utilization, museum storage, and efficiencies of the HVAC system for 14,560 square feet of the Main House and Annex. The Work includes the removal of the existing water source heat pump (WSHP) HVAC system at the Castle Main House and Annex and shall be replaced with a new 4-pipe boiler/chiller system with new air handling units (AHU) in the Castle Main House and Annex. The work includes selective demolition at the Castle Main House, Annex and Stables, installation of new HVAC and electrical systems, protection of existing historic fabric, selective site work, trenching for installation of new MEP infrastructure, modifications to existing interior partition framing at the Stables, construction of a new mechanical room at the Stables, construction of a new cooling tower and cooling tower enclosure east of the Stables, and construction of a new effluent disposal system for the cooling tower effluent. Type of Procurement: It is anticipated that a negotiated firm-fixed price contract will be awarded requiring submission of both a technical and price proposal. The government will consider an offeror?s technical capability in comparison to its price. Magnitude of Construction: $5 million - $10 million Estimated Period of Performance: 275 days Proposal receipt date is not known at this time. The actual date will be established in the solicitation documents A pre-proposal meeting may be posted and date/location will be noted in the solicitation. This procurement is a TOTAL SMALL BUSINESS SET-ASIDE. Responsible small business sources may submit an offer that will be considered. The small business size standard for NAICS 238220 is $14 million. Small Disadvantaged Business and HUBZone firms must be certified in accordance with solicitation clause, FAR 52.219-8?Utilization of Small Business Concerns. It is the policy of the government to provide maximum practicable opportunities in its acquisitions to small business, veteran-owned small business, small disadvantaged business, and women-owned small business concerns. Such concerns must also have the maximum practicable opportunity to participate as subcontractors in the contracts awarded by any executive agency, consistent with efficient contract performance. All offerors are strongly encouraged to contact their local Small Business Administration Office, to post their need for qualified subcontractors at http://www.sba.gov ."
" Consulting: Assisted Living, Nursing Home",ME,Q402--Nursing Home Sources Sought  Sources Sought,Federal,,Department of Veterans Affairs,"Jul 6, 2022",Department of Veterans Affairs,https://sam.gov/opp/19453bb2bdfb4a2ba4d795197e7c3c76/view,"36C24121Q0621    		    		 ",Purchasing,,202-461-4300,bridget.bartolomei@va.gov,,Hub zone Set Asides,"SOURCES SOUGHT SYNOPSIS ONLY 1. The Department of Veterans Affairs, Network Contracting Office 1, is seeking sources for potential Basic Ordering Agreements (BOA s) to provide Community Nursing Home Services to Veterans for the VA Maine, VA Manchester, VA White River Junction, VA Providence, VA West Haven, VA Bedford, VA Boston and VA Central Western MA Healthcare Systems. 2. The intended period of performance of the BOA s will be for five (5) years. The area/location for Community Nursing Homes are for facilities in the following states: Maine, New Hampshire, Vermont, Rhode Island, Connecticut; and Massachusetts.  3. The VA is interested in potential sources that can provide the appropriate level of Community Nursing Home Care to the beneficiaries of the above mentioned VISN 1 Medical Stations. Interested parties are encouraged to respond with the level of care they can provide as well as number of applicable beds for Veterans (etc) and their CMS Star Rating. 4. This is a source sought announcement ONLY and is NOT a request for proposals or quotes. A response to this sources sought is not a request to be added to a prospective bidders list or to receive a copy of a solicitation. Information received as a result of this notice will be considered solely for the purpose of determining competition, availability, and potential eligibility for participation in the VA s Community Nursing Home Program (CNHP). 5. In response to this announcement, please provide the information below: Company Name;  Address; DUNS Number;  Contact Name: Phone No; Email; and Business Size Information - Select all that apply:  Small Business;  Emerging Small Business; Small Disadvantaged Business Certified under Section 8(a) of the Small Business Act; HUBZone;  Woman Owned;  Certified Service-Disabled Veteran Owned Small Veteran Owned Small Business; Large Business;  and Effective Date/ Expiration Date.  6. This notice is neither a request for competitive quote/proposal or solicitation of offers.  This notice is to assist the VA in determining sources only.   This notice does not represent a commitment by the Government to pay for costs incurred in the preparation and submission of information or any other costs incurred as a response to this announcement. Inquiries will only be accepted in writing via email to bridget.bartolomei@va.gov on or before 06 July 2022."
 Equipment: Aircraft Related,OK,Noun_PILOT VALVE_Application_B-52_NSN_1660-00-949-9895_Part_Number_26430056,Federal,,Department of Defense,"Aug 11, 2022",Department of Defense,https://sam.gov/opp/42a0a937449741f18105f2da16831e63/view,"FD2030-22-00036    		    		 ",Purchasing,,703-695-7145,423.SCMS.AFMC.RFI@us.af.mil,,Hub zone Set Asides,"INTERESTED SOURCES MUST SELECT ?ADD ME TO INTERESTED VENDORS? BUTTON ABOVE OR BELOW TO BE CONSIDERED PARTICIPANTS IN THIS MARKET RESEARCH EFFORT. THERE IS NO SOLICITATION AVAILABLE AT THIS TIME.? REQUESTS FOR A SOLICITATION WILL NOT RECEIVE A RESPONSE. North American Industry Classification System (NAICS) Code:? 336413 (Other Aircraft Parts and Auxiliary Equipment Manufacturing) SBA Size Standard:? 1,250 employees Requirement Information:? New Manufacture of PILOT VALVE This Sources Sought Synopsis (SSS) is in support of market research being conducted by the United States Air Force (USAF).? This market research is being conducted to increase competition for this requirement by identifying potential sources and to gauge small business interest to determine whether or not this requirement can be satisfied with a Small Business Set-Aside. The Government will use the information gathered through publication of this SSS to determine the best acquisition strategy for this requirement.? The Government is interested in all potential sources including Small Businesses, Small Disadvantaged Businesses, 8(a) businesses, Service-Disabled Veteran-Owned Small Businesses, HUBZone Small Businesses, Women-Owned Small Businesses, etc. Potential sources shall be capable of furnishing all labor, materials, facilities and equipment required to accomplish the new manufacture of the item(s) listed below.? Generally, this entails the procurement/manufacture of component parts, inspection, testing, preservation/packaging, and shipping.? Additionally, potential sources may be responsible for supply chain management, logistics planning, forecasting production requirements, long-lead time parts procurement, diminishing manufacturing sources and material shortage issues, and shipping serviceable assets.? The unit prices will be established at the time of a contract award for the item(s) listed below. Potential sources may be responsible for nonrecurring engineering costs associated with becoming an approved source. Estimated Solicitation Information: Estimated Solicitation Date:? July 2021 Estimated Solicitation Closing/Response Date:? Aug 2021 PR#:? FD2030-22-00036 Item Information: Nomenclature/Noun:? Pilot Valve National Stock Number (NSN):? 1660-00-949-9895 Part Number (P/N):? 26430056 Application:? B-52 AMC/AMSC:?? 3D Production Information: P/N???????????????????????????? NSN??????????????????????????????????? Noun??????????????????????????????????? Estimated Requirement 26430056????????????????? 1660-00-949-9895????????? PILOT VALVE?????????????????????????? YR 1 ? 62 ea The work specified in this SSS does not have any associated technical data available for distribution.? Potential sources for this effort shall be companies who have a current license or agreement with the OEM Meggitt (North Hollywood), Inc complete the work described in this SSS.? Companies interested in performing the work specified, and have met the requirements stated above, should submit this information (i.e. license or agreement information) to the requirements workflow at the following address. Please include the PR number in the subject line of the request to ensure the action is routed to the responsible organization. 423SCMS.Requirements@us.af.mil NOTE:? Potential sources should only submit questions regarding this post to the above email address.? DO NOT CONTACT THE ORIGINATOR OF THIS POST WITH QUESTIONS. Disclaimer: This SSS is issued solely for informational and planning purposes.? It does not constitute a solicitation (Request for Information, Request for Proposal, or Request for Quotation) or a promise to issue a solicitation in the future. The information in this notice is based on current information as of the publication date.? The information in this notice is subject to change and is not binding to the Government.? If changes are made, updated information will be provided in future notices and will be posted on the Federal Business Opportunities website at www.fbo.gov.? Responses to this SSS may or may not be returned.? Contractors not responding to this SSS will not be precluded from participation in any future solicitation. INTERESTED SOURCES MUST SELECT ?ADD ME TO INTERESTED VENDORS? BUTTON ABOVE OR BELOW TO BE CONSIDERED PARTICIPANTS IN THIS MARKET RESEARCH EFFORT."
" Infrastructure: Marine, Ports, Dredging, Dams",TX,Upcoming: HUBZone 15888020 Dredge Boat Basin & Channel Station South Padre Island at CG STA SOUTH PADRE ISLAND in South Padre,Intelligence,,Department of Homeland Security,"Jul 20, 2022",Department of Homeland Security,https://apfs-cloud.dhs.gov/record/55353/public-print/,"F2021055353    		    		 ",Purchasing,,202-447-5478,Eva.I.Porras@uscg.mil,,Hub zone Set Asides,"15888020 Dredge Boat Basin & Channel Station South Padre Island at CG STA SOUTH PADRE ISLAND in South Padre Island,TX"
 IT: Consulting and Project Management,MD,Upcoming: HUBZone Consolidated Information Technology Purchase -- CITP FY22-03,Intelligence,,Department of Homeland Security,"Jul 29, 2022",Department of Homeland Security,https://apfs-cloud.dhs.gov/record/55407/public-print/,"F2021055407    		    		 ",Purchasing,,202-447-5478,Dedglan.d.Freeman@USCIS.DHS.GOV,,Hub zone Set Asides,"This request is for our Information Technology Equipment Purchase (ITEP) Program Consolidated IT Purchase FY22 #03 (CITP FY22-03) to purchase critical IT hardware (workstations, monitors, notebooks, docking stations, scanners, and printers) for USCIS.

 USCIS anticipates using FirstSource III."
 IT: Consulting and Project Management,MD,Upcoming: HUBZone UiPath Software Maintenance,Intelligence,,Department of Homeland Security,"Sep 8, 2022",Department of Homeland Security,https://apfs-cloud.dhs.gov/record/55953/public-print/,"F2021055953    		    		 ",Purchasing,,202-447-5478,altanelle.e.hernandez@uscis.dhs.gov,,Hub zone Set Asides,"This acquisition is to procure maintenance for UiPath Software. The service is used by USCIS to support Robotic Process Automation (RPA) licenses that automate processes to streamline, aggregate, and consolidate immigration data.

 USCIS anticipates utilizing FSIII as the contract vehicle and will update the record once vehicle is available for use."
 IT: Consulting and Project Management,MD,Upcoming: HUBZone Sonatype Nexus Software Maintenance,Intelligence,,Department of Homeland Security,"Aug 12, 2022",Department of Homeland Security,https://apfs-cloud.dhs.gov/record/55954/public-print/,"F2021055954    		    		 ",Purchasing,,202-447-5478,altanelle.e.hernandez@uscis.dhs.gov,,Hub zone Set Asides,"This acquisition is to procure annual Sonatype Nexus software license maintenance used to ensure USCIS is modernizing its current systems in a consistent manner.

 USCIS anticipates utilizing FirstSouirce III once it becomes available. A revision to the record will be made, as needed."
 IT: Consulting and Project Management,MD,Upcoming: HUBZone Informatica SW Maintenance Renewal,Intelligence,,Department of Homeland Security,"Sep 15, 2022",Department of Homeland Security,https://apfs-cloud.dhs.gov/record/56121/public-print/,"F2021056121    		    		 ",Purchasing,,202-447-5478,david.dahler@uscis.dhs.gov,,Hub zone Set Asides,"This requirement is to renew the annual maintenance on Informatica software currently in use at USCIS.

 USCIS anticipates utilizing FirstSource III as the contract vehicle; the record will be updated once determined."
